"","employees","salaries.14","salaries.15","raise","got.raise"
"1","Employee 1",45580.7441030629,37485.5871661566,8095.15693690628,TRUE
"2","Employee 2",40993.0151375011,35370.9878958762,5622.02724162489,TRUE
"3","Employee 3",43225.9990950115,44015.5648509972,-789.565755985677,FALSE
"4","Employee 4",44552.647380624,45983.3365655504,-1430.68918492645,FALSE
"5","Employee 5",48024.3136663921,38080.883754883,9943.42991150916,TRUE
"6","Employee 6",40273.6980817281,47869.3633736111,-7595.66529188305,FALSE
"7","Employee 7",41326.2369902804,33067.042096518,8259.19489376247,TRUE
"8","Employee 8",43959.8888135515,40767.3155213706,3192.5732921809,TRUE
"9","Employee 9",45953.589475248,36097.9379364289,9855.65153881907,TRUE
"10","Employee 10",42043.7152730301,36305.1475584507,5738.5677145794,TRUE
"11","Employee 11",44876.4745471999,38979.0676208213,5897.40692637861,TRUE
"12","Employee 12",43639.8840765469,48487.017925363,-4847.13384881616,FALSE
"13","Employee 13",45102.7242536657,45966.5697743185,-863.845520652831,FALSE
"14","Employee 14",43323.2187386602,40534.4416061416,2788.77713251859,TRUE
"15","Employee 15",48634.5320218243,57062.013882678,-8427.48186085373,FALSE
"16","Employee 16",46242.3737440258,47690.1407074183,-1447.7669633925,FALSE
"17","Employee 17",45902.7691441588,52065.9298333339,-6163.16068917513,FALSE
"18","Employee 18",46118.7773197889,39115.3819067404,7003.39541304857,TRUE
"19","Employee 19",43543.3569108136,49767.6673508249,-6224.31044001132,FALSE
"20","Employee 20",47240.5253024772,45234.2731924728,2006.25211000443,TRUE
"21","Employee 21",42980.5711447261,48845.028730575,-5864.45758584887,FALSE
"22","Employee 22",44249.8087906279,42545.9667877294,1703.84200289845,TRUE
"23","Employee 23",48288.6384148151,40399.6817115694,7888.95670324564,TRUE
"24","Employee 24",42754.8276889138,38583.186941687,4171.64074722677,TRUE
"25","Employee 25",42453.4070305526,46184.8450219259,-3731.43799137324,FALSE
"26","Employee 26",41344.2214531824,39608.817063272,1735.4043899104,TRUE
"27","Employee 27",46884.5062609762,55802.7537772432,-8918.247516267,FALSE
"28","Employee 28",44137.1802077629,44789.6124213003,-652.432213537395,FALSE
"29","Employee 29",44412.0556907728,44076.1414775625,335.914213210344,TRUE
"30","Employee 30",44149.5220782235,51002.3931087926,-6852.87103056908,FALSE
"31","Employee 31",47683.4017504007,45719.5624709129,1963.83927948773,TRUE
"32","Employee 32",41805.7559570298,46106.2209540978,-4300.46499706805,FALSE
"33","Employee 33",40283.6535591632,46717.6647018641,-6434.01114270091,FALSE
"34","Employee 34",49551.3705746271,52728.2992727123,-3176.92869808525,FALSE
"35","Employee 35",47997.6583062671,54971.4213260449,-6973.76301977783,FALSE
"36","Employee 36",49460.2356432006,54339.1506979242,-4878.91505472362,FALSE
"37","Employee 37",40354.3670685031,30737.7479434945,9616.61912500858,TRUE
"38","Employee 38",43517.7074396051,34316.954005044,9200.75343456119,TRUE
"39","Employee 39",49420.597825665,49170.0696456246,250.528180040419,TRUE
"40","Employee 40",45357.0994921029,39364.9624520913,5992.13704001158,TRUE
"41","Employee 41",47204.9208031967,38118.8037106767,9086.11709252,TRUE
"42","Employee 42",48608.7792250328,53429.8844472505,-4821.10522221774,FALSE
"43","Employee 43",43493.7565005384,46774.452032987,-3280.69553244859,FALSE
"44","Employee 44",48121.5383927338,54693.3516231366,-6571.81323040277,FALSE
"45","Employee 45",48205.1363936625,40304.2021230794,7900.93427058309,TRUE
"46","Employee 46",44664.0713140368,36771.2170863524,7892.85422768444,TRUE
"47","Employee 47",40415.9073461778,42501.0168622248,-2085.10951604694,FALSE
"48","Employee 48",44212.5975550152,48272.5124876015,-4059.91493258625,FALSE
"49","Employee 49",49782.9338232987,44043.0896892212,5739.84413407743,TRUE
"50","Employee 50",46255.1274965517,54177.0409117453,-7921.91341519356,FALSE
"51","Employee 51",42808.7810007855,44987.7920653671,-2179.01106458157,FALSE
"52","Employee 52",40462.9982030019,46676.5702469274,-6213.57204392552,FALSE
"53","Employee 53",45296.5297666378,53065.9485026263,-7769.41873598844,FALSE
"54","Employee 54",47922.5148982368,40246.2465525605,7676.26834567636,TRUE
"55","Employee 55",41284.3798147514,32331.3185712323,8953.06124351919,TRUE
"56","Employee 56",46487.3749064282,43711.3205995411,2776.05430688709,TRUE
"57","Employee 57",49494.5521443151,40128.7568756379,9365.79526867718,TRUE
"58","Employee 58",41577.9500175267,41356.1604358256,221.789581701159,TRUE
"59","Employee 59",42028.1999208964,35201.9534748979,6826.24644599855,TRUE
"60","Employee 60",46197.1569177695,52617.9315079935,-6420.77459022403,FALSE
"61","Employee 61",49995.1198324561,53340.0463545695,-3344.92652211338,FALSE
